generation,candidate_idx,learning_rate,batch_size,epochs,warmup_ratio,weight_decay,dropout,fitness
1,1,2.7985956328580766e-05,8,2,0.04897837076069525,0.013953792852514392,0.1204990352343015,0.7344622861294121
1,2,3.293855452667668e-05,32,1,0.11809850248980794,0.0031782679481783594,0.11873904797231849,0.4679481678537716
1,3,1.4541961337672624e-05,32,1,0.1122490125877226,0.07160196129224035,0.2402649947180472,0.33035714285714285
1,4,1.9644083481093773e-05,16,2,0.16188609133556534,0.0006498759678061017,0.26116385036656153,0.689875950380152
2,1,2.7985956328580766e-05,8,2,0.04897837076069525,0.013953792852514392,0.1204990352343015,0.7395833333333333
2,2,2.2554239504600988e-05,8,2,0.04897837076069525,0.013953792852514392,0.1204990352343015,0.7349933748343709
2,3,4.051490724735959e-05,8,2,0.04897837076069525,0.02268783670630886,0.11568644178119879,0.7640029123044865
2,4,2.7985956328580766e-05,8,2,0.18854854594538473,0.013953792852514392,0.1204990352343015,0.7548467792370231
3,1,4.051490724735959e-05,8,2,0.04897837076069525,0.02268783670630886,0.11568644178119879,0.7640029123044865
3,2,2.2554239504600988e-05,8,2,0.18854854594538473,0.013953792852514392,0.1204990352343015,0.72
3,3,4.051490724735959e-05,8,2,0.04897837076069525,0.03142188056010333,0.11087384832809608,0.7694235588972431
3,4,2.7985956328580766e-05,8,2,0.07564082537051464,0.013953792852514392,0.1204990352343015,0.7444825772188681
